bats_name,,bats,bat_dob,is_wk
AB Dinda,,RHB,1984,
AB de Villiers,,RHB,1984,WK
SP Fleming,,LHB,1973,
S Vidyut,,LHB,1981,
JA Morkel,,LHB,1981,
LPC Silva,,RHB,1979,
DB Ravi Teja,,RHB,1987,
Misbah-ul-Haq,,RHB,1974,
PJ Sangwan,,RHB,1990,
YV Takawale,,RHB,1984,
RR Raje,,RHB,1986,
Mohammad Asif,,RHB,1982,
GD McGrath,,RHB,1970,
Joginder Sharma,,RHB,1983,
MS Gony,,RHB,1984,
M Muralitharan,,RHB,1972,
M Ntini,,RHB,1977,
DT Patil,,RHB,1984,
A Kumble,,RHB,1970,
S Anirudha,,RHB,1987,
MM Patel,,RHB,1983,
CK Kapugedera,,RHB,1987,
A Chopra,,RHB ,1977,
T Taibu,,RHB,1983,
J Arunkumar,,RHB,1975,
PP Ojha,,LHB,1986,
SP Goswami,,LHB,1989,
SR Tendulkar,,RHB,1973,
U Kaul,,LHB,1987,
Niraj Patel,,LHB,1981,
AD Mascarenhas,,RHB,1977,
TM Dilshan,,RHB,1977,
A Mishra,,RHB,1982,
LA Pomersbach,,LHB,1984,
Iqbal Abdulla,,LHB,1989,
Younis Khan,,RHB,1977,
PM Sarvesh Kumar,,RHB,1989,
DP Vijaykumar,,RHB,1986,
Shoaib Akhtar,,RHB,1975,
Abdur Razzak,,RHB,1982,
H Das,,RHB,1986,
DR Smith,,RHB,1983,
SD Chitnis,,RHB ,1987,
CRD Fernando,,RHB,1979,
VS Yeligati,,RHB,1985,
L Balaji,,RHB,1981,
A Mukund,,LHB,1990,
RR Powar,,RHB,1978,
JP Duminy,,LHB,1984,
A Flintoff,,RHB,1977,
T Thushara,,LHB,1981,
KP Pietersen,,RHB,1980,
JD Ryder,,LHB,1984,
T Henderson,,RHB,1974,
Kamran Khan,,LHB,1991,
RS Bopara,,RHB,1985,
MC Henriques,,RHB,1987,
CH Gayle,,LHB,1979,
R Bishnoi,,RHB ,1987,
KV Sharma,,LHB,1987,
FH Edwards,,RHB,1982,
AS Raut,,RHB,1987,
PC Valthaty,,RHB,1983,
RJ Quiney,,LHB,1982,
Yashpal Singh,,RHB,1981,
M Manhas,,RHB,1979,
AA Bilakhia,,RHB,1986,
AN Ghosh,,RHB,1986,
BAW Mendis,,RHB,1985,
DL Vettori,,LHB,1979,
MN van Wyk,,RHB,1979,
RE van der Merwe,,RHB,1984,
TL Suman,,RHB,1983,
Shoaib Ahmed,,RHB,1987,
GR Napier,,RHB,1980,
KP Appanna,,RHB,1988,
LA Carseldine,,LHB,1975,
NV Ojha,,RHB,1983,WK
SM Harwood,,RHB,1974,
M Vijay,,RHB,1984,
DA Warner,,LHB,1986,
SB Jakati,,LHB,1980,
RJ Harris,,RHB,1979,
D du Preez,,RHB,1981,
M Morkel,,LHB,1984,
AD Mathews,,RHB,1987,
SL Malinga,,RHB,1983,
C Nanda,,RHB,1979,
J Botha,,RHB,1982,
Mashrafe Mortaza,,RHB,1983,
A Singh,,RHB,1988,
GJ Bailey,,RHB,1982,
AB McDonald,,RHB,1981,
Y Nagar,,RHB,1990,
SS Shaikh,,RHB,1987,
R Ashwin,,RHB,1986,
Mohammad Ashraful,,RHB,1984,
Jaskaran Singh,,RHB ,1989,
Anirudh Singh,,LHB,1980,
CA Pujara,,RHB,1988,
OA Shah,,RHB,1978,
AP Tare,,RHB,1987,
AT Rayudu,,RHB,1985,
R Sathish,,RHB,1981,
R McLaren,,LHB,1983,
AA Jhunjhunwala,,RHB,1982,
P Dogra,,RHB,1984,
A Uniyal,,LHB,1981,
MS Bisla,,RHB,1984,WK
YA Abdulla,,LHB,1983,
EJG Morgan,,LHB,1986,
JM Kemp,,RHB,1977,
S Tyagi,,RHB,1987,
RS Gavaskar,,LHB,1976,
SE Bond,,RHB,1975,
S Ladda,,RHB,1986,
DP Nannes,,RHB,1976,
KA Pollard,,RHB,1987,
DR Martyn,,RHB,1971,
S Narwal,,LHB,1982,
MJ Lumb,,LHB,1980,
Bipul Sharma,,LHB,1983,
AB Barath,,RHB,1990,
FY Fazal,,LHB,1985,
AC Voges,,RHB,1979,
MD Mishra,,RHB,1984,
UT Yadav,,RHB,1987,
J Theron,,RHB,1985,
SJ Srivastava,,RHB,1981,
R Sharma,,RHB,1986,
Mandeep Singh,,RHB,1991,
KM Jadhav,,RHB,1985,
SW Tait,,RHB,1983,
KB Arun Karthik,,RHB,1986,
KAJ Roach,,RHB,1988,
PD Collingwood,,RHB,1976,
CK Langeveldt,,RHB,1974,
VS Malik,,RHB,1983,
A Mithun,,RHB,1989,
AP Dole,,RHB,1987,
AN Ahmed,,RHB,1988,
RS Sodhi,,RHB,1980,
DE Bollinger,,LHB,1981,
S Sriram,,LHB,1976,
B Sumanth,,RHB,1988,
C Madan,,RHB,1982,
AG Paunikar,,RHB,1988,
MR Marsh,,RHB,1991,
AJ Finch,,RHB,1986,
STR Binny,,RHB,1984,
Harmeet Singh,,LHB,1992,
IR Jaggi,,RHB,1989,
DT Christian,,RHB,1983,
MA Agarwal,,RHB,1991,
RV Gomez,,RHB,1985,
AUK Pathan,,RHB,1984,
UBT Chand,,RHB,1993,
DJ Jacobs,,RHB,1982,
NJ Rimmington,,RHB,1982,
Sunny Singh,,RHB,1986,
AL Menaria,,LHB,1990,
WD Parnell,,LHB,1989,
JJ van der Wath,,RHB,1978,
R Ninan,,RHB,1985,
S Aravind,,LHB,1984,
MS Wade,,LHB,1987,
TD Paine,,RHB,1984,WK
JEC Franklin,,LHB,1980,
SB Wagh,,LHB,1988,
AC Thomas,,RHB,1977,
Shakib Al Hasan,,LHB,1987,
DH Yagnik,,LHB,1983,
S Randiv,,RHB,1985,
BJ Haddin,,RHB,1977,WK
NLTC Perera,,LHB,1989,
NL McCullum,,RHB,1980,
JE Taylor,,RHB,1984,
J Syed Mohammad,,LHB,1983,
RN ten Doeschate,,RHB,1980,
TR Birt,,LHB,1981,
AG Murtaza,,LHB,1990,
Harpreet Singh,,LHB,1991,
M Klinger,,RHB,1980,
AC Blizzard,,LHB,1984,
I Malhotra,,RHB,1984,
L Ablish,,RHB,1982,
CA Ingram,,LHB,1985,
S Nadeem,,RHB,1989,
P Parameswaran,,RHB,1985,
CJ Ferguson,,RHB,1984,
VR Aaron,,RHB,1989,
AA Chavan,,LHB,1985,
ND Doshi,,RHB,1978,
B Kumar,,RHB,1990,
Y Gnaneswara Rao,,RHB,1984,
S Rana,,RHB,1984,
BA Bhatt,,LHB,1990,
F du Plessis,,RHB,1984,
RE Levi,,RHB,1988,
GJ Maxwell,,RHB,1988,
SPD Smith,,RHB,1989,
SA Yadav,,RHB,1990,
MN Samuels,,RHB,1981,
KK Cooper,,RHB,1989,
JP Faulkner,,RHB,1990,
HV Patel,,RHB,1990,
DAJ Bracewell,,RHB,1990,
DJ Harris,,RHB,1979,
Ankit Sharma,,LHB,1991,
SP Narine,,LHB,1988,
GB Hogg,,LHB,1971,
RR Bhatkal,,RHB,1985,
CJ McKay,,RHB,1983,
N Saini,,RHB,1992,
DA Miller,,LHB,1989,
Azhar Mahmood,,RHB,1975,
P Negi,,LHB,1993,
RJ Peterson,,LHB,1979,
KMDN Kulasekara,,RHB,1982,
A Ashish Reddy,,RHB,1991,
V Pratap Singh,,RHB,1992,
BB Samantray,,RHB,1988,
MJ Clarke,,RHB,1981,
Gurkeerat Singh,,RHB,1990,
AP Majumdar,,RHB,1984,
PA Reddy,,RHB,1981,
K Upadhyay,,RHB,1986,
P Awana,,RHB,1986,
AD Russell,,RHB,1988,
A Chandila,,RHB,1983,
CA Lynn,,RHB,1990,
Sunny Gupta,,RHB,1988,
MC Juneja,,RHB,1990,
KK Nair,,RHB,1991,
GH Vihari,,RHB,1993,
R Shukla,,RHB,1990,
MDKJ Perera,,LHB,1990,
AS Rajpoot,,RHB,1993,
B Laughlin,,RHB,1982,
M Vohra,,RHB,1993,
JD Unadkat,,RHB,1991,
Mohammed Shami,,RHB,1990,
BMAJ Mendis,,LHB,1983,
R Rampaul,,LHB,1984,
CH Morris,,RHB,1987,
SV Samson,,RHB,1994,WK
SMSM Senanayake,,RHB,1985,
BJ Rohrer,,LHB,1981,
KL Rahul,,RHB,1992,WK
Q de Kock,,LHB,1992,WK
R Dhawan,,RHB,1990,
MG Johnson,,LHB,1981,
LJ Wright,,RHB,1985,
IC Pandey,,RHB,1989,
CM Gautam,,RHB,1986,WK
X Thalaivan Sargunam,,RHB,1985,
DJG Sammy,,RHB,1983,
KW Richardson,,RHB,1991,
MM Sharma,,RHB,1988,
UA Birla,,RHB,1989,
Parvez Rasool,,RHB,1989,
Sandeep Sharma,,RHB,1993,
S Kaul,,RHB,1990,
Sachin Baby,,LHB,1988,
PV Tambe,,RHB,1971,
NM Coulter-Nile,,RHB,1987,
CJ Anderson,,LHB,1990,
NJ Maddinson,,LHB,1991,
AR Patel,,LHB,1994,
JJ Bumrah,,RHB,1993,
JDS Neesham,,LHB,1990,
TG Southee,,RHB,1988,
MA Starc,,LHB,1990,
BR Dunk,,LHB,1987,
RR Rossouw,,LHB,1989,
Shivam Sharma,,RHB,1993,
YS Chahal,,RHB,1990,
LMP Simmons,,RHB,1985,
VH Zol,,LHB,1994,
Imran Tahir,,RHB,1979,
BCJ Cutting,,RHB,1987,
BE Hendricks,,LHB,1990,
S Gopal,,RHB,1993,
M de Lange,,RHB,1990,
R Tewatia,,LHB,1993,
JO Holder,,RHB,1991,
Karanveer Singh,,RHB,1987,
SS Iyer,,RHB,1994,
DJ Hooda,,RHB,1995,
Anureet Singh,,RHB,1988,
KS Williamson,,RHB,1990,
SA Abbott,,RHB,1992,
J Suchith,,LHB,1994,
RG More,,RHB,1992,
D Wiese,,RHB,1985,
HH Pandya,,RHB,1993,
SN Khan,,RHB,1997,
MJ McClenaghan,,LHB,1986,
DJ Muthuswami,,RHB,1981,
PJ Cummins,,RHB,1993,
SN Thakur,,RHB,1991,
JC Buttler,,RHB,1990,WK
CR Brathwaite,,RHB,1988,
MP Stoinis,,RHB,1989,
Ishan Kishan,,LHB,1998,WK
C Munro,,LHB,1987,
P Sahu,,RHB,1985,
KH Pandya,,LHB,1991,
AD Nath,,RHB,1993,
MJ Guptill,,RHB,1986,
KJ Abbott,,RHB,1987,
TM Head,,LHB,1993,
M Ashwin,,RHB,1990,
NS Naik,,RHB,1994,
RR Pant,,LHB,1997,WK
SW Billings,,RHB,1991,WK
KC Cariappa,,RHB,1994,
PSP Handscomb,,RHB,1991,
Swapnil Singh,,RHB,1991,
J Yadav,,RHB,1990,
UT Khawaja,,LHB,1986,
HM Amla,,RHB,1983,
F Behardien,,RHB,1983,
A Zampa,,RHB,1992,
BB Sran,,LHB,1992,
N Rana,,LHB,1993,
S Kaushik,,RHB,1995,
ER Dwivedi,,RHB,1988,
CJ Jordan,,RHB,1988,
A Choudhary,,RHB,1990,
TS Mills,,RHB,1992,
BA Stokes,,LHB,1991,
JJ Roy,,RHB,1990,
Vishnu Vinod,,RHB,1993,
Basil Thampi,,RHB,1993,
CR Woakes,,RHB,1989,
RA Tripathi,,RHB,1991,
DL Chahar,,RHB,1992,
V Shankar,,RHB,1991,
Rashid Khan,,RHB,1998,
LH Ferguson,,RHB,1991,
RD Chahar,,RHB,1999,
C de Grandhomme,,RHB,1986,
AF Milne,,RHB,1992,
S Badree,,RHB,1981,
Mohammad Nabi,,RHB,1985,
AJ Tye,,RHB,1986,
K Rabada,,LHB,1995,
Kuldeep Yadav,,LHB,1995,
Washington Sundar,,LHB,1999,
DM Bravo,,LHB,1989,
AR Bawne,,RHB,1992,
SP Jackson,,RHB,1986,WK
Ankit Soni,,RHB,1993,
TA Boult,,RHB,1989,
E Lewis,,LHB,1991,
MA Wood,,RHB,1990,
RK Singh,,LHB,1997,
DJM Short,,LHB,1990,
K Gowtham,,RHB,1988,
TK Curran,,RHB,1995,
M Markande,,RHB,1997,
B Stanlake,,LHB,1994,
Mujeeb Ur Rahman,,RHB,2001,
A Dananjaya,,LHB,1993,
Shivam Mavi,,RHB,1998,
Shubman Gill,,RHB,1999,
Mohammed Siraj,,RHB,1994,
H Klaasen,,RHB,1991,WK
RK Bhui,,RHB,1996,
JC Archer,,RHB,1995,
PP Shaw,,RHB,1999,
LE Plunkett,,RHB,1985,
Mustafizur Rahman,,LHB,1995,
AD Hales,,RHB,1989,
MK Lomror,,LHB,1999,
DR Shorey,,RHB,1992,
MM Ali,,LHB,1987,
M Prasidh Krishna,,RHB,1996,
P Chopra,,RHB,1992,
JPR Scantlebury-Searles,,RHB,1986,
Abhishek Sharma,,LHB,2000,
IS Sodhi,,RHB,1992,
SO Hetmyer,,LHB,1996,
S Dube,,LHB,1993,
NA Saini,,RHB,1992,
JM Bairstow,,RHB,1989,
Rasikh Salam,,RHB,2001,
KMA Paul,,RHB,1998,
N Pooran,,LHB,1995,WK
P Ray Barman,,RHB,2002,
S Lamichhane,,RHB,2000,
SM Curran,,LHB,1998,
GC Viljoen,,RHB,1989,
Avesh Khan,,RHB,1996,
HF Gurney,,RHB,1986,
SD Lad,,RHB,1992,
AS Joseph,,RHB,1996,
MJ Santner,,LHB,1992,
R Parag,,RHB,2001,
JL Denly,,RHB,1986,
LS Livingstone,,RHB,1993,
KK Ahmed,,RHB,1997,
AJ Turner,,RHB,1993,
SE Rutherford,,RHB,1998,
Harpreet Brar,,LHB,1995,
Y Prithvi Raj,,LHB,1998,
P Simran Singh,,RHB,2000,WK
JL Pattinson,,LHB,1990,
A Nortje,,RHB,1993,
T Banton,,RHB,1998,
D Padikkal,,LHB,2000,
YBK Jaiswal,,LHB,2001,
RD Gaikwad,,RHB,1997,
TU Deshpande,,LHB,1995,
Abdul Samad,,RHB,2001,
PK Garg,,RHB,2000,
JR Philippe,,RHB,1997,
Kartik Tyagi,,RHB,2000,
CV Varun,,RHB,1991,
KL Nagarkoti,,RHB,1999,
I Udana,,RHB,1988,
Ravi Bishnoi,,RHB,2000,
Shahbaz Ahmed,,LHB,1994,
AT Carey,,LHB,1974,
N Jagadeesan,,RHB,1991,
T Natarajan,,LHB,1991,
P Dubey,,RHB,1993,
SS Cottrell,,RHB,1989,
Arshdeep Singh,,LHB,1999,
DR Sams,,RHB,1992,
A Nel,,RHB,1977,
C Ganapathy,,RHB,1981,
TP Sudhindra,,LHB,1984,
BW Hilfenhaus,,RHB,1983,
P Amarnath,,RHB,1982,
B Geeves,,RHB,1982,
Gagandeep Singh,,RHB,1981,
AM Salvi,,RHB,1981,
RR Bose,,RHB,1979,
SS Sarkar,,RHB,1984,
RA Shaikh,,LHB,1985,
MB Parmar,,RHB,1988,
AA Kazi,,LHB,1989,
Anand Rajan,,RHB,1987,
P Prasanth,,LHB,1985,
SS Mundhe,,RHB,1988,
RW Price,,RHB,1976,
Harmeet Singh (2),,RHB,1987,
P Suyal,,RHB,1989,
MG Neser,,RHB,1990,
K Santokie,,LHB,1984,
JW Hastings,,RHB,1985,
GS Sandhu,,LHB,1993,
T Shamsi,,RHB,1990,
SM Boland,,RHB,1989,
Tejas Baroka,,RHB,1996,
SS Agarwal,,RHB,1993,
NB Singh,,RHB,1995,
MJ Henry,,RHB,1991,
K Khejroliya,,LHB,1992,
KM Asif,,RHB,1993,
L Ngidi,,RHB,1996,
DJ Willey,,LHB,1990,
CJ Dala,,RHB,1989,
JP Behrendorff,,RHB,1990,
SC Kuggeleijn,,RHB,1992,
S Midhun,,RHB,1994,
O Thomas,,LHB,1997,
AS Roy,,LHB,1997,
S Sandeep Warrier,,RHB,1991,
JR Hazlewood,,LHB,1991,
CJ Green,,RHB,1993,
Monu Kumar,,RHB,1994,
